symbol,description,type,subtype,price,open,high,low,change_%,change_abs,change_from_open_%,volume,volume_change_%,relative_volume,market_cap,pe_ratio,eps,dividend_yield_%,sector,industry,technical_rating,rsi,rsi_prev,macd,macd_signal,ema20,ema50,ema200,sma20,sma50,sma200,bb_upper,bb_lower,vwap,atr,beta,52w_high,52w_low,price_52w_high,price_52w_low,avg_vol_10d,avg_vol_30d,gap_%,pre_market_change_%,after_hours_change_%,exchange,signal
DJI,Dow Jones Industrial Average Index,index,cfd,45166.64,45904.25,45904.25,45063.33,-1.7264,-793.47,-1.6068,,,,,,,,index,,-0.6006,29.4108,34.5633,-822.0574,-732.5307,46858.221,47754.1942,46660.97,46967.757,48406.5672,46646.5885,49032.5559,44902.9581,,718.3317,,50512.79,28.48,50512.79,36611.78,,,-0.1215,,,TVC,STRONG SELL
RUT,US Small Cap 2000 Index,index,cfd,2449.6952,2481.1078,2482.1271,2443.6323,-1.7497,-43.626,-1.2661,,,,,,,,index,,-0.5292,38.806,43.1328,-35.9608,-34.707,2524.8289,2560.1132,2453.3235,2526.9512,2604.2739,2438.2086,2640.2561,2413.6462,,53.8079,,2735.1043,106.07,2735.1043,1732.9921,,,-0.4898,,,TVC,STRONG SELL
VIX,VOLATILITY S&P 500,index,cfd,31.04,27.54,31.65,27.54,13.1608,3.61,12.7088,,,,,,,,index,,0.5552,64.0917,58.2906,1.9764,1.7327,25.1425,22.1804,19.1414,25.3575,21.072,17.9344,30.2645,20.4505,,4.0662,,96.4,8.56,60.13,13.38,,,0.401,,,TVC,STRONG BUY
DXY,U.S. Dollar Currency Index,index,cfd,100.193,99.871,100.206,99.803,0.3294,0.329,0.3224,,,,,,,,currency,,0.5552,61.4853,58.8873,0.4449,0.4414,99.2812,98.7415,99.1119,99.3872,98.2253,98.4015,100.4489,98.3256,,0.6799,,164.72,70.698,104.392,95.551,,,0.007,,,TVC,STRONG BUY
NI225,Japan 225 Index,index,cfd,53373.02,53239.59,53714.9,52516.92,-0.4302,-230.58,0.2506,,,,,,,,index,,-0.1071,45.7654,46.6366,-611.0107,-451.0707,54166.522,54088.0328,48796.9284,54458.131,54850.3012,47563.9266,57927.7531,50988.5089,,1466.8627,,59332.43,85.25,59332.43,30792.74,,,-0.6791,,,TVC,SELL
