symbol,description,type,subtype,price,open,high,low,change_%,change_abs,change_from_open_%,volume,volume_change_%,relative_volume,market_cap,pe_ratio,eps,dividend_yield_%,sector,industry,technical_rating,rsi,rsi_prev,macd,macd_signal,ema20,ema50,ema200,sma20,sma50,sma200,bb_upper,bb_lower,vwap,atr,beta,52w_high,52w_low,price_52w_high,price_52w_low,avg_vol_10d,avg_vol_30d,gap_%,pre_market_change_%,after_hours_change_%,exchange,signal
GOLD,GOLD (US$/OZ),commodity,cfd,4493.398,4377.86,4555.51,4370.61,2.6812,117.333,2.6391,0,,0,,,,,Metals,,-0.2667,36.4287,29.9324,-156.6417,-88.8943,4764.9935,4812.161,4210.8894,4882.0384,4953.1221,4094.4761,5501.2416,4262.8353,,185.8572,,5598.75,20.54,5598.75,2956.66,0.7,0.9,0.041,,,TVC,SELL
SILVER,SILVER (US$/OZ),commodity,cfd,69.722,68.2604,71.6329,67.415,2.6244,1.783,2.1412,0,,0,,,,,Metals,,-0.3576,38.6278,35.6933,-4.1539,-2.9626,76.4833,78.8082,62.4803,78.6194,84.7684,57.5155,92.7507,64.4881,,6.2681,,121.647,0.28,121.647,28.339,0.7,0.9,0.4731,,,TVC,SELL
